p,	poly,	modulus
2,	x^21 + x^20 + a*x^16 + a + 1,	a^2 + a + 1
3,	x^21 + x^20 + (a + 1)*x + 2*a + 1,	a^2 + 2*a + 2
5,	x^21 + x^20 + a,	a^2 + 4*a + 2
7,	x^21 + a*x^20 + 5*a + 2,	a^2 + 6*a + 3
11,	x^21 + 2*x^20 + 3*a + 10,	a^2 + 7*a + 2
13,	x^21 + x^20 + 10*a + 11,	a^2 + 12*a + 2
17,	x^21 + x^20 + 15*a + 15,	a^2 + 16*a + 3
19,	x^21 + x^20 + 10*a,	a^2 + 18*a + 2
23,	x^21 + x^20 + x + 19*a + 3,	a^2 + 21*a + 5
29,	x^21 + x^20 + 5*a,	a^2 + 24*a + 2
31,	x^21 + x^20 + 24*a + 28,	a^2 + 29*a + 3
37,	x^21 + x^20 + 36*a,	a^2 + 33*a + 2
41,	x^21 + x^20 + 32*a,	a^2 + 38*a + 6
43,	x^21 + x^20 + 36*a + 42,	a^2 + 42*a + 3
47,	x^21 + x^20 + 27*a,	a^2 + 45*a + 5
53,	x^21 + x^20 + 45*a,	a^2 + 49*a + 2
59,	x^21 + x^20 + 57*a,	a^2 + 58*a + 2
61,	x^21 + x^20 + a,	a^2 + 60*a + 2
67,	x^21 + x^20 + 64*a,	a^2 + 63*a + 2
71,	x^21 + x^20 + 69*a,	a^2 + 69*a + 7
73,	x^21 + x^20 + 22*a,	a^2 + 70*a + 5
79,	x^21 + x^20 + 64*a + 77,	a^2 + 78*a + 3
83,	x^21 + x^20 + 65*a,	a^2 + 82*a + 2
89,	x^21 + x^20 + 66*a,	a^2 + 82*a + 3
97,	x^21 + x^20 + 96*a,	a^2 + 96*a + 5
101,	x^21 + x^20 + a,	a^2 + 97*a + 2
103,	x^21 + x^20 + 95*a + 102,	a^2 + 102*a + 5
107,	x^21 + x^20 + 45*a,	a^2 + 103*a + 2
109,	x^21 + x^20 + 68*a,	a^2 + 108*a + 6
113,	x^21 + x^20 + 51*a,	a^2 + 101*a + 3
127,	x^21 + x^20 + 88*a,	a^2 + 126*a + 3
131,	x^21 + x^20 + 126*a,	a^2 + 127*a + 2
137,	x^21 + x^20 + 77*a,	a^2 + 131*a + 3
139,	x^21 + x^20 + 56*a,	a^2 + 138*a + 2
149,	x^21 + x^20 + 143*a,	a^2 + 145*a + 2
151,	x^21 + x^20 + 98*a,	a^2 + 149*a + 6
157,	x^21 + x^20 + 128*a,	a^2 + 152*a + 5
163,	x^21 + x^20 + 38*a,	a^2 + 159*a + 2
167,	x^21 + x^20 + 158*a,	a^2 + 166*a + 5
173,	x^21 + x^20 + 171*a,	a^2 + 169*a + 2
179,	x^21 + x^20 + 131*a,	a^2 + 172*a + 2
181,	x^21 + x^20 + 180*a,	a^2 + 177*a + 2
191,	x^21 + x^20 + 136*a,	a^2 + 190*a + 19
193,	x^21 + x^20 + 173*a,	a^2 + 192*a + 5
197,	x^21 + x^20 + 194*a,	a^2 + 192*a + 2
199,	x^21 + x^20 + 62*a,	a^2 + 193*a + 3
211,	x^21 + x^20 + 133*a,	a^2 + 207*a + 2
223,	x^21 + x^20 + 214*a,	a^2 + 221*a + 3
227,	x^21 + x^20 + 225*a,	a^2 + 220*a + 2
229,	x^21 + x^20 + 211*a,	a^2 + 228*a + 6
233,	x^21 + x^20 + 203*a,	a^2 + 232*a + 3
239,	x^21 + x^20 + 223*a,	a^2 + 237*a + 7
241,	x^21 + x^20 + 201*a,	a^2 + 238*a + 7
251,	x^21 + x^20 + 244*a,	a^2 + 242*a + 6
257,	x^21 + x^20 + 229*a,	a^2 + 251*a + 3
263,	x^21 + x^20 + 234*a,	a^2 + 261*a + 5
269,	x^21 + x^20 + 259*a,	a^2 + 268*a + 2
271,	x^21 + x^20 + 241*a,	a^2 + 269*a + 6
277,	x^21 + x^20 + 239*a,	a^2 + 274*a + 5
281,	x^21 + x^20 + 249*a,	a^2 + 280*a + 3
283,	x^21 + x^20 + 275*a,	a^2 + 282*a + 3
293,	x^21 + x^20 + 274*a,	a^2 + 292*a + 2
307,	x^21 + x^20 + 265*a,	a^2 + 306*a + 5
311,	x^21 + x^20 + 299*a,	a^2 + 310*a + 17
313,	x^21 + x^20 + 287*a,	a^2 + 310*a + 10
317,	x^21 + x^20 + 311*a,	a^2 + 313*a + 2
331,	x^21 + x^20 + 319*a,	a^2 + 326*a + 3
337,	x^21 + x^20 + 297*a,	a^2 + 332*a + 10
347,	x^21 + x^20 + 303*a,	a^2 + 343*a + 2
349,	x^21 + x^20 + 343*a,	a^2 + 348*a + 2
353,	x^21 + x^20 + 350*a,	a^2 + 348*a + 3
359,	x^21 + x^20 + 348*a,	a^2 + 358*a + 7
367,	x^21 + x^20 + 286*a,	a^2 + 366*a + 6
373,	x^21 + x^20 + 323*a,	a^2 + 369*a + 2
379,	x^21 + x^20 + 355*a,	a^2 + 374*a + 2
383,	x^21 + x^20 + 365*a,	a^2 + 382*a + 5
389,	x^21 + x^20 + 311*a,	a^2 + 379*a + 2
397,	x^21 + x^20 + 390*a,	a^2 + 392*a + 5
401,	x^21 + x^20 + 396*a,	a^2 + 396*a + 3
409,	x^21 + x^20 + 390*a,	a^2 + 404*a + 21
419,	x^21 + x^20 + 417*a,	a^2 + 418*a + 2
421,	x^21 + x^20 + 370*a,	a^2 + 417*a + 2
431,	x^21 + x^20 + 370*a,	a^2 + 430*a + 7
433,	x^21 + x^20 + 397*a,	a^2 + 432*a + 5
439,	x^21 + x^20 + 329*a,	a^2 + 436*a + 15
